Targets,K-Steering,CAA,DCT
"Appeal to Precedent, Empirical Grounding, Moral Framing",0.14394352,0.054205157,0.11259633
"Appeal to Precedent, Empirical Grounding, Refutation by Distinction",0.057671178,0.04439106,0.0503577
"Appeal to Precedent, Empirical Grounding, Straw Man Reframing",0.13020572,0.13870992,0.10590449
"Appeal to Precedent, Moral Framing, Refutation by Distinction",0.022251647,0.05964227,0.06159374
"Appeal to Precedent, Moral Framing, Straw Man Reframing",0.10259384,0.07484294,0.09608632
"Appeal to Precedent, Refutation by Distinction, Straw Man Reframing",0.2479527,0.19730763,0.035039246
"Empirical Grounding, Moral Framing, Refutation by Distinction",0.010837739,-0.005458425,0.012069523
"Empirical Grounding, Moral Framing, Straw Man Reframing",0.11648115,0.08403647,0.10624048
"Empirical Grounding, Refutation by Distinction, Straw Man Reframing",0.07492686,0.13799138,0.043810397
"Moral Framing, Refutation by Distinction, Straw Man Reframing",0.02328028,0.01649826,0.04290673
