Targets,alpha_grad,alpha_caa,alpha_dct,best_k_layer,best_caa_layer
"('Appeal to Precedent', 'Empirical Grounding', 'Moral Framing')",19.5390625,3.090625,168.08359375000003,29,29
"('Appeal to Precedent', 'Empirical Grounding', 'Refutation by Distinction')",9.071875000000002,4.33671875,264.07421875,29,29
"('Appeal to Precedent', 'Empirical Grounding', 'Straw Man Reframing')",4.212109375000001,5.582812500000001,400.0609375,29,29
"('Appeal to Precedent', 'Moral Framing', 'Refutation by Distinction')",19.5390625,4.212109375000001,200.08046875000002,29,29
"('Appeal to Precedent', 'Moral Framing', 'Straw Man Reframing')",15.053125000000001,4.835156250000001,296.07109375,29,29
"('Appeal to Precedent', 'Refutation by Distinction', 'Straw Man Reframing')",31.003125,6.3304687500000005,38.09628906249999,29,29
"('Empirical Grounding', 'Moral Framing', 'Refutation by Distinction')",13.059375,4.5859375,56.09453125,29,29
"('Empirical Grounding', 'Moral Framing', 'Straw Man Reframing')",6.828906250000001,4.835156250000001,232.07734375,29,29
"('Empirical Grounding', 'Refutation by Distinction', 'Straw Man Reframing')",2.09375,5.582812500000001,176.08281250000002,29,29
"('Moral Framing', 'Refutation by Distinction', 'Straw Man Reframing')",31.003125,0.1,136.08671875,29,29
